,Date,MEAN_SOLAR_ZENITH_ANGLE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_INCIDENCE_ZENITH_ANGLE,MEAN_INCIDENCE_AZIMUTH_ANGLE,SOLAR_IRRADIANCE_B2,SOLAR_IRRADIANCE_B3,SOLAR_IRRADIANCE_B4,SOLAR_IRRADIANCE_B5,SOLAR_IRRADIANCE_B6,SOLAR_IRRADIANCE_B7,SOLAR_IRRADIANCE_B8,SOLAR_IRRADIANCE_B8A,SOLAR_IRRADIANCE_B11,SOLAR_IRRADIANCE_B12,h2o,o3,aot
0,2017-01-06,27.183301256893447,84.77915464518905,7.130122209102584,101.2691172884735,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,1.9399999618530273,0.32,0.17800000309944153
1,2017-01-19,26.82881272558475,79.35201488746345,9.754745468058037,286.2673786738965,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,1.9100000381469726,0.2852895833333333,0.17800000309944153
2,2017-02-08,29.973832570682397,70.00932197388016,9.771520652376127,286.26743988987715,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.8,0.276,0.148499995470047
3,2017-02-15,33.236654143543895,68.6603985418657,7.170784440619414,101.35360169540294,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.5,0.271,0.148499995470047
4,2017-02-25,35.07999863074845,63.14162354840219,7.168037390353522,101.35456716498535,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.220000076293945,0.31326666666666664,0.148499995470047
5,2017-03-07,37.12050938893575,57.596481311028654,7.171807568382793,101.3069425792995,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.589999961853027,0.274,0.11566666513681412
6,2017-03-17,39.356361447180454,52.26130273082789,7.153576296442005,101.3201540105415,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,1.7399999618530273,0.302,0.11566666513681412
7,2017-03-27,41.75856445125,47.31285391545001,7.112423611242001,101.26475211639999,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.3299999237060547,0.3162509803921569,0.11566666513681412
8,2017-03-30,40.97111124185,43.0001112085,9.8120974380115,286.2844932775,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.8100000381469727,0.3242944444444445,0.11566666513681412
9,2017-04-16,46.874214482650004,39.16748869125,7.0657440904149995,101.20057892830002,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,1.7799999237060546,0.3335941176470589,0.05000000027939677
10,2017-04-19,46.334119251400004,35.3615179608,9.8406729761355,286.29562011805,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.35,0.323,0.05000000027939677
11,2017-05-09,51.36197473465001,30.552801562950002,9.85522434758,286.2839031305,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.2399999618530275,0.3392206477732793,0.05900000035762787
12,2017-05-16,54.00784466775001,32.082045258,7.056966614173,101.1614461126,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.8200000762939452,0.335,0.05900000035762787
13,2017-05-19,53.4846807138,29.15971725985,9.842843399199,286.2854240941,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.4899999618530275,0.316,0.05900000035762787
14,2017-06-08,56.46777864925,28.1390491477,9.818948991201502,286.2777064922,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.6200000762939455,0.306,0.2162812501192093
15,2017-06-15,58.09682577505,30.6372672577,7.129543096340501,101.24824953075,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,1.9700000762939454,0.313,0.2162812501192093
16,2017-06-25,58.39697664385,31.121134909499997,7.173116134320001,101.33894432,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.5399999618530273,0.31,0.2162812501192093
17,2017-06-28,57.264953006199995,28.971061705,9.753255127628002,286.28325150775004,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,3.4,0.3129764705882353,0.2162812501192093
18,2017-06-30,58.314825427449996,31.49036659335,7.090579320619999,102.20486439485,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,3.0,0.3153105263157895,0.2162812501192093
19,2017-07-05,58.080063308149995,31.94350567355,7.161256511403501,101.30202742525,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.9,0.31009444444444445,0.1280980388469556
20,2017-07-15,57.13847926615,33.037206271900004,7.126979269306,101.24535403549999,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.910000038146973,0.306,0.1280980388469556
21,2017-07-18,55.565356305,30.99357905365,9.7994955496155,286.27785556435003,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,3.4099998474121094,0.301,0.1280980388469556
22,2017-07-20,56.441446988150005,33.67418813075,7.053051164048999,102.1695948156,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,2.660000038146973,0.305,0.1280980388469556
23,2017-07-23,54.75912409439999,31.633870537600004,9.832423874586999,285.618029205,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,2.8,0.31,0.1280980388469556
24,2017-07-25,55.594223354849994,34.353274033299996,7.112585105905,101.24970316535,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.1299999237060545,0.309,0.1280980388469556
25,2017-07-28,53.80338314335,32.3024352141,9.818963581654,286.2889471802,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,3.3599998474121096,0.30756349206349204,0.1280980388469556
26,2017-07-30,54.611427893649996,35.0859373097,7.061877262573001,102.147892129,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,2.720000076293945,0.30665384615384617,0.1280980388469556
27,2017-08-02,52.7159724755,33.01848321135,9.830548211986,285.6113263019501,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,3.540000152587891,0.306,0.17658823290291956
28,2017-08-04,53.48571182145,35.840053542,7.0908474362475005,101.21723717005,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.0100000381469725,0.289,0.17658823290291956
29,2017-08-09,52.245410228999994,36.6517242817,7.0621653628145,102.1887741507,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,2.7100000381469727,0.295,0.17658823290291956
30,2017-08-12,50.154114786049995,34.52810623375,9.8252559948945,285.61696616605,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,2.95,0.284,0.17658823290291956
31,2017-08-22,47.158546939,36.18045071075,9.819164834387,285.6218836306,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,3.45,0.2989843137254902,0.17658823290291956
32,2017-08-24,47.857275024100005,39.285388259499996,7.074474189639499,101.18800856405001,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,3.0700000762939452,0.295,0.17658823290291956
33,2017-08-29,46.23639153235,40.2885437827,7.0971580404245,102.19703498049999,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,3.0799999237060547,0.29827894736842103,0.17658823290291956
34,2017-09-03,44.5272852908,41.30321092395,7.072260337279,101.1609028794,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.9600000381469727,0.294,0.09088235392290003
35,2017-09-08,42.798273033899996,42.4444319558,7.117205674159999,102.22281658864999,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,3.45,0.29,0.09088235392290003
36,2017-09-11,40.275214646100004,40.09631709965,9.7857691791705,285.60923776489994,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,2.7100000381469727,0.293,0.09088235392290003
37,2017-09-16,38.44052900015,41.23864643755,9.823423118545001,286.2555527946501,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,3.8299999237060547,0.29581960784313727,0.09088235392290003
38,2017-10-08,32.33536750845,51.61124663615,7.166355268037,102.3190876532,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,3.7299999237060546,0.27,0.11607142857142858
39,2017-10-18,29.31823883995,56.04010346585,7.161114020602501,102.31890350205,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,3.470000076293945,0.2824555555555555,0.11607142857142858
40,2017-10-23,27.9584396433,58.50286598835,7.050737966872999,101.18705634795,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,2.8700000762939455,0.28227777777777785,0.11607142857142858
41,2017-11-02,25.79056872205,64.1230397115,7.0599703795905,101.20755464435,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25,3.4400001525878907,0.284,0.1326666623353958
42,2017-11-17,23.96218008075,73.1989897894,7.158634787476499,102.3431175418,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,2.089999961853027,0.27502100840336136,0.1326666623353958
43,2017-11-20,21.688191507750002,72.2784384822,9.7759809908995,285.62398808035,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,4.570000076293946,0.257,0.1326666623353958
44,2017-12-17,24.789193362800003,85.2399967474,7.104661192528501,102.2545849036,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75,2.25,0.2788216911764706,0.08683333545923233
