id,rating,note
1,high,
2,high,
3,high,
4,high,
5,low,
6,high,
7,high,
8,high,
9,high,
10,high,
11,high,
12,high,
13,moderate,
14,high,
15,low,waterlog
16,high,
17,high,
18,moderate,
19,high,
20,moderate,
21,moderate,algae
22,high,
23,high,
24,high,
25,low,
26,high,
27,high,algae
28,high,
29,high,
30,moderate,algae
31,moderate,algae
32,moderate,algae
33,moderate,
34,moderate,
35,moderate,
36,moderate,algae
37,high,
38,moderate,
39,moderate,algae
40,moderate,
41,moderate,
42,high,
43,moderate,
44,high,
45,high,
46,high,
47,high,
48,low,algae
49,high,
50,high,
51,high,
52,high,
53,high,
54,high,
55,high,
56,high,
57,high,
58,high,
59,high,
60,high,
61,high,
62,high,
63,high,
64,high,
65,high,
66,moderate,
67,high,
68,high,
69,high,
70,high,
71,high,
72,high,
73,low,
74,high,
75,high,
76,high,
77,low,
78,high,
79,moderate,
80,high,
81,high,
82,high,
83,high,
84,high,
85,moderate,
86,high,
87,high,
88,high,
89,high,
90,high,
91,high,
92,high,
93,high,
94,high,
95,high,
96,high,
97,high,
98,high,
99,high,
100,high,
101,high,
102,high,
103,high,
104,high,
105,low,
106,high,
107,high,
108,high,
109,high,
110,high,
111,high,
112,high,
113,high,
114,high,
115,high,
116,low,
117,high,
118,high,
119,high,
120,moderate,
121,high,
122,low,
123,high,
124,high,
125,high,
126,high,
127,low,
128,high,
129,high,
130,moderate,
131,high,
132,high,
133,low,
134,high,
135,high,
136,low,
137,high,
138,high,
139,high,
140,high,
141,high,
142,high,
143,high,
144,high,
145,high,
146,high,
147,high,
148,moderate,
149,high,
150,high,
151,high,
152,high,
153,high,
154,high,
155,high,
156,high,
157,high,
158,moderate,
159,high,
160,moderate,
161,high,
162,high,
163,high,
164,moderate,
165,high,
166,high,
167,moderate,
168,high,
169,high,
170,moderate,
171,moderate,
172,moderate,
173,high,
174,moderate,
175,high,
176,high,
177,moderate,
178,high,
179,high,
180,low,waterlog
181,moderate,
182,moderate,
183,low,
184,low,algae
185,high,
186,high,algae
187,high,algae
188,high,algae
189,moderate,
190,high,
191,high,
192,high,
193,high,
194,high,
195,moderate,
196,high,
197,high,
198,high,
199,high,
200,high,
201,low,
202,high,
203,high,
204,high,
205,high,
206,high,
207,high,
208,high,
