,Date,MEAN_SOLAR_ZENITH_ANGLE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_INCIDENCE_ZENITH_ANGLE,MEAN_INCIDENCE_AZIMUTH_ANGLE,SOLAR_IRRADIANCE_B2,SOLAR_IRRADIANCE_B3,SOLAR_IRRADIANCE_B4,SOLAR_IRRADIANCE_B5,SOLAR_IRRADIANCE_B6,SOLAR_IRRADIANCE_B7,SOLAR_IRRADIANCE_B8,SOLAR_IRRADIANCE_B8A,SOLAR_IRRADIANCE_B11,SOLAR_IRRADIANCE_B12
0,2017-01-06,27.18330125689345,84.77915464518905,7.130122209102584,101.2691172884735,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
1,2017-01-19,26.828812725584747,79.35201488746345,9.754745468058035,286.2673786738965,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
2,2017-02-08,29.9738325706824,70.00932197388016,9.771520652376129,286.2674398898771,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
3,2017-02-15,33.2366541435439,68.6603985418657,7.170784440619414,101.35360169540294,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
4,2017-02-25,35.07999863074845,63.141623548402194,7.168037390353522,101.35456716498535,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
5,2017-03-07,37.12050938893575,57.596481311028654,7.171807568382793,101.3069425792995,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
6,2017-03-17,39.35636144718045,52.2613027308279,7.153576296442006,101.3201540105415,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
7,2017-03-27,41.758564451249995,47.312853915450006,7.112423611242001,101.2647521164,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
8,2017-03-30,40.97111124185,43.0001112085,9.812097438011499,286.2844932775,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
9,2017-04-16,46.874214482650004,39.16748869125,7.065744090415,101.20057892830002,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
10,2017-04-19,46.3341192514,35.3615179608,9.8406729761355,286.29562011805,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
11,2017-05-09,51.361974734650005,30.552801562950002,9.85522434758,286.2839031305,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
12,2017-05-16,54.00784466775001,32.082045258,7.056966614173,101.1614461126,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
13,2017-05-19,53.4846807138,29.159717259849998,9.842843399199001,286.2854240941,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
14,2017-06-08,56.46777864925,28.1390491477,9.818948991201502,286.2777064922,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
15,2017-06-15,58.09682577505,30.6372672577,7.129543096340501,101.24824953075,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
16,2017-06-25,58.396976643849996,31.1211349095,7.173116134320001,101.33894432,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
17,2017-06-28,57.2649530062,28.971061705,9.753255127628002,286.28325150775004,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
18,2017-06-30,58.31482542745,31.490366593349997,7.09057932062,102.20486439484999,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
19,2017-07-05,58.08006330815,31.94350567355,7.161256511403501,101.30202742525,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
20,2017-07-15,57.13847926615,33.037206271900004,7.126979269306,101.2453540355,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
21,2017-07-18,55.565356304999995,30.993579053650002,9.7994955496155,286.27785556435003,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
22,2017-07-20,56.441446988150005,33.67418813075,7.053051164049,102.16959481560001,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
23,2017-07-23,54.7591240944,31.6338705376,9.832423874587,285.61802920499997,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
24,2017-07-25,55.59422335485,34.353274033299996,7.112585105905,101.24970316535,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
25,2017-07-28,53.803383143350004,32.3024352141,9.818963581654,286.2889471802,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
26,2017-07-30,54.61142789365,35.0859373097,7.061877262573,102.14789212900001,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
27,2017-08-02,52.715972475499996,33.01848321135,9.830548211986,285.61132630195004,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
28,2017-08-04,53.485711821449996,35.840053542,7.0908474362475005,101.21723717005,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
29,2017-08-09,52.245410229,36.6517242817,7.062165362814499,102.1887741507,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
30,2017-08-12,50.15411478605,34.52810623375,9.8252559948945,285.61696616605,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
31,2017-08-22,47.158546939000004,36.18045071075,9.819164834387,285.6218836306,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
32,2017-08-24,47.857275024100005,39.285388259499996,7.074474189639499,101.18800856405,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
33,2017-08-29,46.23639153235,40.2885437827,7.0971580404245,102.19703498049999,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
34,2017-09-03,44.5272852908,41.30321092395,7.072260337279,101.1609028794,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
35,2017-09-08,42.7982730339,42.4444319558,7.117205674159999,102.22281658865,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
36,2017-09-11,40.2752146461,40.09631709965,9.7857691791705,285.60923776489994,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
37,2017-09-16,38.44052900015,41.23864643755,9.823423118545001,286.25555279465004,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
38,2017-10-08,32.33536750845,51.61124663615,7.166355268037,102.3190876532,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
39,2017-10-18,29.31823883995,56.040103465849995,7.161114020602501,102.31890350205,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
40,2017-10-23,27.9584396433,58.502865988349996,7.050737966873,101.18705634795,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
41,2017-11-02,25.79056872205,64.1230397115,7.0599703795905,101.20755464435,1941.63,1822.61,1512.79,1425.56,1288.32,1163.19,1036.39,955.19,245.59,85.25
42,2017-11-17,23.962180080750002,73.1989897894,7.158634787476499,102.34311754180001,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
43,2017-11-20,21.68819150775,72.2784384822,9.7759809908995,285.62398808035,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
44,2017-12-17,24.7891933628,85.2399967474,7.1046611925285,102.2545849036,1959.77,1824.93,1512.79,1425.78,1291.13,1175.57,1041.28,953.93,247.08,87.75
